"","narrative_1","narrative_2","narrative_3","narrative_4","narrative_5","narrative_6","narrative_7","narrative_8"
"narrative_1",1,0.167687055204493,0.491030720569574,0.188421207926376,0.468375163727989,0.237011197902085,0.372695361652995,0.154329388385133
"narrative_2",0.167687055204493,1,0.0606175592790194,0.462323488449052,-0.0200577478918598,0.522380150751772,0.224710219887093,0.527908478579928
"narrative_3",0.491030720569574,0.0606175592790194,1,0.15230219861855,0.52706377076719,0.134253857959166,0.43595064796205,0.0510652552831606
"narrative_4",0.188421207926376,0.462323488449052,0.15230219861855,1,0.0180399362514661,0.543012823401301,0.374542474232319,0.509521254047656
"narrative_5",0.468375163727989,-0.0200577478918598,0.52706377076719,0.0180399362514661,1,0.107316685614936,0.385601706393652,0.0698982712634315
"narrative_6",0.237011197902085,0.522380150751772,0.134253857959166,0.543012823401301,0.107316685614936,1,0.344935830592094,0.581727894837742
"narrative_7",0.372695361652995,0.224710219887093,0.43595064796205,0.374542474232319,0.385601706393652,0.344935830592094,1,0.258663751529097
"narrative_8",0.154329388385133,0.527908478579928,0.0510652552831606,0.509521254047656,0.0698982712634315,0.581727894837742,0.258663751529097,1
