"";"ssec ";"sfree ";"tsec ";"tfree ";"trust5 ";"medtime_1 ";"micronarratives ";"mainstream ";"man_eff ";"man_acc "
"ssec";" 1.000   ";"";"";"";"";"";"";"";"";""
"sfree";" 0.856***";" 1.000   ";"";"";"";"";"";"";"";""
"tsec";" 0.337***";" 0.309***";" 1.000   ";"";"";"";"";"";"";""
"tfree";" 0.198** ";" 0.155*  ";" 0.631***";" 1.000   ";"";"";"";"";"";""
"trust5";"-0.306***";"-0.341***";"-0.221** ";"-0.155*  ";" 1.000   ";"";"";"";"";""
"medtime_1";" 0.110   ";" 0.109   ";" 0.106   ";" 0.118   ";" 0.003   ";" 1.000   ";"";"";"";""
"micronarratives";" 0.244** ";" 0.287***";" 0.222** ";" 0.214** ";"-0.269***";" 0.179*  ";" 1.000   ";"";"";""
"mainstream";"-0.171*  ";"-0.216** ";" 0.000   ";" 0.129   ";" 0.322***";" 0.024   ";" 0.171*  ";" 1.000   ";"";""
"man_eff";"-0.271***";"-0.342***";"-0.099   ";"-0.023   ";" 0.399***";" 0.028   ";"-0.035   ";" 0.345***";" 1.000   ";""
"man_acc";"-0.666***";"-0.737***";"-0.179*  ";"-0.053   ";" 0.395***";"-0.011   ";"-0.150*  ";" 0.437***";" 0.585***";" 1.000   "
